CODE	CODE2	DISPLAY	SYSTEM	VALIDCODE	ACCPDX	ASTERISK	IM
01.28	0128	Placement of intracerebral catheter(s) via burr hole(s)	ICD9CM_2010_IM	1	Y	0	0
01.3	013	Incision of brain and cerebral meninges	ICD9CM_2010_IM	0	Y	0	0
01.31	0131	Incision of cerebral meninges	ICD9CM_2010_IM	1	Y	0	0
01.32	0132	Lobotomy and tractotomy	ICD9CM_2010_IM	1	Y	0	0
01.39	0139	Other incision of brain	ICD9CM_2010_IM	1	Y	0	0
01.4	014	Operations on thalamus and globus pallidus	ICD9CM_2010_IM	0	Y	0	0
01.41	0141	Operations on thalamus	ICD9CM_2010_IM	1	Y	0	0
01.42	0142	Operations on globus pallidus	ICD9CM_2010_IM	1	Y	0	0
01.5	015	Other excision or destruction of brain and meninges	ICD9CM_2010_IM	0	Y	0	0
01.51	0151	Excision of lesion or tissue of cerebral meninges	ICD9CM_2010_IM	1	Y	0	0
01.52	0152	Hemispherectomy	ICD9CM_2010_IM	1	Y	0	0
01.53	0153	Lobectomy of brain	ICD9CM_2010_IM	1	Y	0	0
01.59	0159	Other excision or destruction of lesion or tissue of brain	ICD9CM_2010_IM	1	Y	0	0
01.6	016	Excision of lesion of skull	ICD9CM_2010_IM	1	Y	0	0
02	02	Other operations on skull, brain, and cerebral meninges	ICD9CM_2010_IM	0	Y	0	0
02.0	020	Cranioplasty	ICD9CM_2010_IM	0	Y	0	0
02.01	0201	Opening of cranial suture	ICD9CM_2010_IM	1	Y	0	0
02.02	0202	Elevation of skull fracture fragments	ICD9CM_2010_IM	1	Y	0	0
02.03	0203	Formation of cranial bone flap	ICD9CM_2010_IM	1	Y	0	0
02.04	0204	Bone graft to skull	ICD9CM_2010_IM	1	Y	0	0
02.05	0205	Insertion of skull plate	ICD9CM_2010_IM	1	Y	0	0
02.06	0206	Other cranial osteoplasty	ICD9CM_2010_IM	1	Y	0	0
02.07	0207	Removal of skull plate	ICD9CM_2010_IM	1	Y	0	0
02.1	021	Repair of cerebral meninges	ICD9CM_2010_IM	0	Y	0	0
02.11	0211	Simple suture of dura mater of brain	ICD9CM_2010_IM	1	Y	0	0
02.12	0212	Other repair of cerebral meninges	ICD9CM_2010_IM	1	Y	0	0
02.13	0213	Ligation of meningeal vessel	ICD9CM_2010_IM	1	Y	0	0
02.14	0214	Choroid plexectomy	ICD9CM_2010_IM	1	Y	0	0
02.2	022	Ventriculostomy	ICD9CM_2010_IM	1	Y	0	0
02.20	0220	Endoscopic ventriculostomy (IM)	ICD9CM_2010_IM	1	Y	0	1
02.3	023	Extracranial ventricular shunt	ICD9CM_2010_IM	0	Y	0	0
02.31	0231	Ventricular shunt to structure in head and neck	ICD9CM_2010_IM	1	Y	0	0
02.32	0232	Ventricular shunt to circulatory system	ICD9CM_2010_IM	1	Y	0	0
02.33	0233	Ventricular shunt to thoracic cavity	ICD9CM_2010_IM	1	Y	0	0
02.34	0234	Ventricular shunt to abdominal cavity and organs	ICD9CM_2010_IM	1	Y	0	0
02.35	0235	Ventricular shunt to urinary system	ICD9CM_2010_IM	1	Y	0	0
02.39	0239	Other operations to establish drainage of ventricle	ICD9CM_2010_IM	1	Y	0	0
02.4	024	Revision, removal, and irrigation of ventricular shunt	ICD9CM_2010_IM	0	Y	0	0
02.41	0241	Irrigation and exploration of ventricular shunt	ICD9CM_2010_IM	1	Y	0	0
02.42	0242	Replacement of ventricular shunt	ICD9CM_2010_IM	1	Y	0	0
02.43	0243	Removal of ventricular shunt	ICD9CM_2010_IM	1	Y	0	0
02.9	029	Other operations on skull, brain, and cerebral meninges	ICD9CM_2010_IM	0	Y	0	0
02.91	0291	Lysis of cortical adhesions	ICD9CM_2010_IM	1	Y	0	0
02.92	0292	Repair of brain	ICD9CM_2010_IM	1	Y	0	0
02.93	0293	Implantation or replacement of intracranial neurostimulator lead(s)	ICD9CM_2010_IM	1	Y	0	0
02.94	0294	Insertion or replacement of skull tongs or halo traction device	ICD9CM_2010_IM	1	Y	0	0
02.95	0295	Removal of skull tongs or halo traction device	ICD9CM_2010_IM	1	Y	0	0
02.96	0296	Insertion of sphenoidal electrodes	ICD9CM_2010_IM	1	Y	0	0
02.99	0299	Other operations on skull, brain, and cerebral meninges	ICD9CM_2010_IM	1	Y	0	0
03	03	Operations on spinal cord and spinal canal structures	ICD9CM_2010_IM	0	Y	0	0
03.0	030	Exploration and decompression of spinal canal structures	ICD9CM_2010_IM	0	Y	0	0
03.01	0301	Removal of foreign body from spinal canal	ICD9CM_2010_IM	1	Y	0	0
03.02	0302	Reopening of laminectomy site	ICD9CM_2010_IM	1	Y	0	0
03.09	0309	Other exploration and decompression of spinal canal	ICD9CM_2010_IM	1	Y	0	0
03.1	031	Division of intraspinal nerve root	ICD9CM_2010_IM	1	Y	0	0
03.2	032	Chordotomy	ICD9CM_2010_IM	0	Y	0	0
03.21	0321	Percutaneous chordotomy	ICD9CM_2010_IM	1	Y	0	0
03.29	0329	Other chordotomy	ICD9CM_2010_IM	1	Y	0	0
03.3	033	Diagnostic procedures on spinal cord and spinal canal structures	ICD9CM_2010_IM	0	Y	0	0
03.31	0331	Spinal tap	ICD9CM_2010_IM	1	Y	0	0
03.32	0332	Biopsy of spinal cord or spinal meninges	ICD9CM_2010_IM	1	Y	0	0
03.39	0339	Other diagnostic procedures on spinal cord and spinal canal structures	ICD9CM_2010_IM	1	Y	0	0
03.4	034	Excision or destruction of lesion of spinal cord or spinal meninges	ICD9CM_2010_IM	1	Y	0	0
03.5	035	Plastic operations on spinal cord structures	ICD9CM_2010_IM	0	Y	0	0
03.51	0351	Repair of spinal meningocele	ICD9CM_2010_IM	1	Y	0	0
03.52	0352	Repair of spinal myelomeningocele	ICD9CM_2010_IM	1	Y	0	0
03.53	0353	Repair of vertebral fracture	ICD9CM_2010_IM	1	Y	0	0
03.59	0359	Other repair and plastic operations on spinal cord structures	ICD9CM_2010_IM	1	Y	0	0
03.6	036	Lysis of adhesions of spinal cord and nerve roots	ICD9CM_2010_IM	1	Y	0	0
03.7	037	Shunt of spinal theca	ICD9CM_2010_IM	0	Y	0	0
03.71	0371	Spinal subarachnoid-peritoneal shunt	ICD9CM_2010_IM	1	Y	0	0
03.72	0372	Spinal subarachnoid-ureteral shunt	ICD9CM_2010_IM	1	Y	0	0
03.79	0379	Other shunt of spinal theca	ICD9CM_2010_IM	1	Y	0	0
03.8	038	Injection of destructive agent into spinal canal	ICD9CM_2010_IM	1	Y	0	0
03.9	039	Other operations on spinal cord and spinal canal structures	ICD9CM_2010_IM	0	Y	0	0
03.90	0390	Insertion of catheter into spinal canal for infusion of therapeutic or palliative substances	ICD9CM_2010_IM	1	Y	0	0
03.91	0391	Injection of anesthetic into spinal canal for analgesia	ICD9CM_2010_IM	1	Y	0	0
03.92	0392	Injection of other agent into spinal canal	ICD9CM_2010_IM	1	Y	0	0
03.93	0393	Implantation or replacement of spinal neurostimulator lead(s)	ICD9CM_2010_IM	1	Y	0	0
03.94	0394	Removal of spinal neurostimulator lead(s)	ICD9CM_2010_IM	1	Y	0	0
03.95	0395	Spinal blood patch	ICD9CM_2010_IM	1	Y	0	0
03.96	0396	Percutaneous denervation of facet	ICD9CM_2010_IM	1	Y	0	0
03.97	0397	Revision of spinal thecal shunt	ICD9CM_2010_IM	1	Y	0	0
03.98	0398	Removal of spinal thecal shunt	ICD9CM_2010_IM	1	Y	0	0
03.99	0399	Other operations on spinal cord and spinal canal structures	ICD9CM_2010_IM	1	Y	0	0
04	04	Operations on cranial and peripheral nerves	ICD9CM_2010_IM	0	Y	0	0
04.0	040	Incision, division, and excision of cranial and peripheral nerves	ICD9CM_2010_IM	0	Y	0	0
04.01	0401	Excision of acoustic neuroma	ICD9CM_2010_IM	1	Y	0	0
04.02	0402	Division of trigeminal nerve	ICD9CM_2010_IM	1	Y	0	0
04.03	0403	Division or crushing of other cranial and peripheral nerves	ICD9CM_2010_IM	1	Y	0	0
